YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKDAY,21.0,BUS,16091,2063,230
2026-04,WEEKDAY,17.0,BUS,96331,324,44
2026-04,WEEKDAY,6.0,BUS,64079,590,926
2026-04,WEEKDAY,10.0,BUS,96059,329,86
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,44191,4,42
2026-04,WEEKDAY,7.0,BUS,58011,1285,841
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,11491,134,127
2026-04,WEEKDAY,11.0,BUS,46591,1146,579
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,65049,22,123
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,4229,201,318
2026-04,WEEKDAY,5.0,BUS,65239,365,256
2026-04,WEEKDAY,12.0,BUS,20109,3186,1353
2026-04,WEEKENDS/HOLIDAY,9.0,BUS,56071,21,12
2026-04,WEEKDAY,23.0,BUS,6149,211,63
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,22029,12,0
2026-04,WEEKDAY,7.0,BUS,21719,400,13
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,67079,320,319
2026-04,WEEKENDS/HOLIDAY,7.0,BUS,28101,120,139
2026-04,WEEKDAY,17.0,BUS,47681,690,843
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,65319,324,265
2026-04,WEEKDAY,13.0,BUS,77061,285,288
2026-04,WEEKDAY,17.0,BUS,20179,381,431
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,1239,413,673
2026-04,WEEKDAY,8.0,BUS,83141,445,124
2026-04,WEEKDAY,10.0,BUS,49131,2,14
2026-04,WEEKENDS/HOLIDAY,23.0,BUS,17191,132,105
2026-04,WEEKENDS/HOLIDAY,7.0,BUS,75231,488,485
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,59809,53,102
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,18121,38,84
2026-04,WEEKENDS/HOLIDAY,19.0,BUS,32139,59,0
2026-04,WEEKDAY,13.0,BUS,91041,196,183
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,64349,650,475
2026-04,WEEKENDS/HOLIDAY,0.0,BUS,77219,3,30
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,32121,1,3
2026-04,WEEKDAY,21.0,BUS,70379,264,486
2026-04,WEEKDAY,14.0,BUS,49061,33,14
2026-04,WEEKDAY,20.0,BUS,59551,486,439
2026-04,WEEKDAY,18.0,BUS,53151,1048,622
2026-04,WEEKENDS/HOLIDAY,8.0,BUS,48039,9,13
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,20131,62,86
2026-04,WEEKDAY,11.0,BUS,2159,99,578
2026-04,WEEKDAY,13.0,BUS,20289,75,133
2026-04,WEEKDAY,15.0,BUS,27371,261,1570
2026-04,WEEKDAY,5.0,BUS,43029,4,27
