YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,TE24,1812,2134
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,EW26,48,2147
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,PW1,1485,1839
2026-04,WEEKENDS/HOLIDAY,5,TRAIN,DT28,465,26
2026-04,WEEKENDS/HOLIDAY,23,TRAIN,TE4,825,894
2026-04,WEEKDAY,14,TRAIN,NS27/CE2/TE20,3616,4919
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,PW7,1643,1709
2026-04,WEEKDAY,0,TRAIN,EW33,1,261
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,BP6/DT1,20991,11979
2026-04,WEEKDAY,11,TRAIN,PW4,3566,2665
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,NS10,16496,15578
2026-04,WEEKENDS/HOLIDAY,15,TRAIN,TE4,2918,1890
2026-04,WEEKDAY,19,TRAIN,SW1,3058,3136
2026-04,WEEKENDS/HOLIDAY,13,TRAIN,EW3,8653,8102
2026-04,WEEKDAY,23,TRAIN,SE2,246,3274
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,NE5,8422,4784
2026-04,WEEKDAY,6,TRAIN,CC16,7576,4272
2026-04,WEEKDAY,0,TRAIN,CG1/DT35,31,393
2026-04,WEEKENDS/HOLIDAY,15,TRAIN,CC28,1893,1646
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,NE10,6206,4926
2026-04,WEEKDAY,6,TRAIN,TE22,125,860
2026-04,WEEKENDS/HOLIDAY,10,TRAIN,BP9,1897,1168
2026-04,WEEKENDS/HOLIDAY,23,TRAIN,PE4,185,446
2026-04,WEEKDAY,7,TRAIN,CC5,3030,5368
2026-04,WEEKDAY,6,TRAIN,BP4,4695,680
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,CC24,1125,3075
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,NS8,8916,8560
2026-04,WEEKDAY,12,TRAIN,EW25,9524,6562
2026-04,WEEKDAY,20,TRAIN,PE6,5027,9402
2026-04,WEEKDAY,0,TRAIN,DT7,17,229
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,TE28,2209,2858
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,DT17,3125,2273
2026-04,WEEKENDS/HOLIDAY,15,TRAIN,DT25,1523,1696
2026-04,WEEKDAY,11,TRAIN,EW27,31955,31510
2026-04,WEEKDAY,21,TRAIN,CC2,5392,2194
2026-04,WEEKDAY,5,TRAIN,SW1,307,183
2026-04,WEEKDAY,6,TRAIN,DT6,4201,5851
2026-04,WEEKDAY,0,TRAIN,NS25/EW13,650,142
2026-04,WEEKDAY,12,TRAIN,EW21/CC22,26596,24365
2026-04,WEEKDAY,18,TRAIN,NS8,32615,58149
2026-04,WEEKDAY,12,TRAIN,DT5,14549,11982
2026-04,WEEKDAY,5,TRAIN,EW1,10333,546
2026-04,WEEKDAY,6,TRAIN,NS17/CC15,47010,24280
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,SW2,3750,2596
2026-04,WEEKENDS/HOLIDAY,22,TRAIN,DT34,575,1881
2026-04,WEEKDAY,20,TRAIN,NS13,39022,83639
2026-04,WEEKDAY,14,TRAIN,DT31,6019,6510
2026-04,WEEKENDS/HOLIDAY,13,TRAIN,EW18,8715,8068
2026-04,WEEKDAY,23,TRAIN,EW21/CC22,6538,4247
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,BP8,827,814
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,EW29,2860,3014
2026-04,WEEKDAY,13,TRAIN,DT2,3660,3491
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,CC27,807,336
2026-04,WEEKDAY,18,TRAIN,CG1/DT35,97680,12827
2026-04,WEEKENDS/HOLIDAY,22,TRAIN,PE4,350,736
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,PE1,1808,1773
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,TE14/NS22,259,312
2026-04,WEEKDAY,15,TRAIN,DT17,14630,7141
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,PE1,1977,2080
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,NS20,14003,4645
2026-04,WEEKDAY,10,TRAIN,EW16/NE3/TE17,28864,41302
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,NE8,20020,21455
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,TE11,2035,2078
2026-04,WEEKENDS/HOLIDAY,5,TRAIN,NS23,91,89
2026-04,WEEKDAY,22,TRAIN,BP4,812,1915
2026-04,WEEKDAY,20,TRAIN,CC25,5076,6679
2026-04,WEEKDAY,15,TRAIN,EW6,7143,11643
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,SW5,2250,745
2026-04,WEEKDAY,20,TRAIN,NS21/DT11,53421,59715
2026-04,WEEKDAY,0,TRAIN,DT31,61,983
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,BP13,165,494
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,CE1/DT16,17157,25322
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,NS14,10304,16241
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,TE29,2270,1448
2026-04,WEEKENDS/HOLIDAY,18,TRAIN,DT21,6261,3612
2026-04,WEEKDAY,7,TRAIN,EW6,28856,14190
2026-04,WEEKDAY,7,TRAIN,CC4/DT15,2039,24422
2026-04,WEEKDAY,17,TRAIN,EW26,56930,65260
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,CG2,12495,10363
2026-04,WEEKDAY,13,TRAIN,TE14/NS22,77492,74195
2026-04,WEEKDAY,17,TRAIN,NE9,52503,33924
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,DT24,2225,2422
2026-04,WEEKENDS/HOLIDAY,18,TRAIN,DT28,5960,6107
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,EW31,1470,477
2026-04,WEEKENDS/HOLIDAY,23,TRAIN,EW30,90,580
2026-04,WEEKDAY,11,TRAIN,NS10,33639,18021
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,NS4/BP1,16408,11815
2026-04,WEEKDAY,20,TRAIN,EW11,16636,20881
2026-04,WEEKDAY,23,TRAIN,CC28,285,1787
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,BP6/DT1,16325,18709
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,SE5,928,313
2026-04,WEEKDAY,11,TRAIN,PE3,6674,4373
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,DT7,648,1478
